ind	dent	sample	ERJ	Sr	O	C	sampling	ERJ original		
OVAR1	m2	GR2_8t	54.3	0.708222	-4.16	-13.45	slice	23.6		
OVAR1	m2	GR2_7t	52	0.708198	-3.90	-14.00	slice	21.3		
OVAR1	m2	GR2_6t	48.9	0.708177	-4.66	-13.96	slice	18.2		
OVAR1	m2	GR2_5t	44.7	0.708126	-4.32	-13.95	slice	14		
OVAR1	m2	GR2_4t	41.1	0.708148	-3.75	-14.10	slice	10.4		
OVAR1	m2	GR2_3t	39	0.70816	-2.60	-13.61	slice	8.3		
OVAR1	m2	GR2_2t	36.5	0.70842	-2.23	-13.75	slice	5.8		
OVAR1	m2	GR2_1t	34	0.70883	-1.53	-13.70	slice	3.3		
OVAR1	m3	GR1_10t	30.7	0.708591	-1.08	-13.60	slice	30.7		
OVAR1	m3	GR1_9t	27.8	0.709051	-1.01	-13.50	slice	27.8		
OVAR1	m3	GR1_8t	24.7	0.709415	-1.11	-13.71	slice	24.7		
OVAR1	m3	GR1_7t	21.7	0.70957	-1.66	-13.78	slice	21.7		
OVAR1	m3	GR1_6t	19.2	0.709566	-2.10	-13.67	slice	19.2		
OVAR1	m3	GR1_5t	16.1	0.709165	-2.73	-13.69	slice	16.1		
OVAR1	m3	GR1_4t	13.2	0.70863	-3.81	-13.87	slice	13.2		
OVAR1	m3	GR1_3t	10.4	0.708366	-4.51	-13.48	slice	10.4		
OVAR1	m3	GR1_2t	7.3	0.708502	-3.96	-12.88	slice	7.3		
OVAR1	m3	GR1_1t	4.4	0.708646	-3.12	-13.14	slice	4.4		
OVAR2	m2	GR4_7t	41	0.708195	-5.21	-12.72	slice	17.5		
OVAR2	m2	GR4_6t	39.3	0.708172	-5.68	-12.91	slice	15.8		
OVAR2	m2	GR4_5t	36.8	0.708185	-5.55	-13.00	slice	13.3		
OVAR2	m2	GR4_4t	34.5	0.708135	-4.52	-13.24	slice	11		
OVAR2	m2	GR4_3t	32.4	0.708213	-3.10	-13.62	slice	8.9		
OVAR2	m2	GR4_2t	30	0.70832	-1.22	-13.79	slice	6.5		
OVAR2	m2	GR4_1t	28.2	0.708736	-0.66	-13.78	slice	4.7		
OVAR2	m3	GR3_9t	23.5	0.709999	-2.71	-13.54	slice	23.5		
OVAR2	m3	GR3_8t	21.4	0.709983	-3.23	-13.32	slice	21.4		
OVAR2	m3	GR3_7t	18.8	0.709397	-3.81	-13.28	slice	18.8		
OVAR2	m3	GR3_6t	16.4	0.708728	-4.52	-13.34	slice	16.4		
OVAR2	m3	GR3_5t	14	0.708421	-5.08	-13.25	slice	14		
OVAR2	m3	GR3_4t	11.6	0.708246	-5.05	-13.22	slice	11.6		
OVAR2	m3	GR3_3t	8.8	0.708231	-3.33	-13.04	slice	8.8		
OVAR2	m3	GR3_2t	6.5	0.708496	-1.72	-12.61	slice	6.5		
OVAR2	m3	GR3_1t	4.5	0.709092	-1.41	-13.25	slice	4.5		
CAHI3	m2	GR9_9	31.5	0.708304	-3.94	-12.90	banda	15.6		
CAHI3	m2	GR9_8	29.8	0.708385	-2.99	-12.57	banda	13.9		
CAHI3	m2	GR9_7	28.2	0.708458	-2.26	-12.84	banda	12.3		
