ind	dent	sample	ERJ	Sr	O	C	sampling	ERJ original	
OVAR0	m3	GR2_8t	54.8	0.758222	-4.66	-13.95	slice	24.1	
OVAR0	m3	GR2_7t	52.5	0.758198	-4.4	-14.5	slice	21.8	
OVAR0	m3	GR2_6t	49.4	0.758177	-5.16	-14.46	slice	18.7	
OVAR0	m3	GR2_5t	45.2	0.758126	-4.82	-14.45	slice	14.5	
OVAR0	m3	GR2_4t	41.6	0.758148	-4.25	-14.6	slice	10.9	
OVAR0	m3	GR2_3t	39.5	0.75816	-3.1	-14.11	slice	8.8	
OVAR0	m3	GR2_2t	37	0.75842	-2.73	-14.25	slice	6.3	
OVAR0	m3	GR2_1t	34.5	0.75883	-2.03	-14.2	slice	3.8	
OVAR0	m3	GR1_10t	31.2	0.758591	-1.58	-14.1	slice	31.2	
OVAR0	m3	GR1_9t	28.3	0.759051	-1.51	-14	slice	28.3	
OVAR0	m3	GR1_8t	25.2	0.759415	-1.61	-14.21	slice	25.2	
OVAR0	m3	GR1_7t	22.2	0.75957	-2.16	-14.28	slice	22.2	
OVAR0	m3	GR1_6t	19.7	0.759566	-2.6	-14.17	slice	19.7	
OVAR0	m3	GR1_5t	16.6	0.759165	-3.23	-14.19	slice	16.6	
OVAR0	m3	GR1_4t	13.7	0.75863	-4.31	-14.37	slice	13.7	
OVAR0	m3	GR1_3t	10.9	0.758366	-5.01	-13.98	slice	10.9	
OVAR0	m3	GR1_2t	7.8	0.758502	-4.46	-13.38	slice	7.8	
OVAR0	m3	GR1_1t	4.9	0.758646	-3.62	-13.64	slice	4.9	
CAHI5	m3	GR4_7t	41.5	0.758195	-5.71	-13.22	slice	18	
CAHI5	m3	GR4_6t	39.8	0.758172	-6.18	-13.41	slice	16.3	
CAHI5	m3	GR4_5t	37.3	0.758185	-6.05	-13.5	slice	13.8	
CAHI5	m3	GR4_4t	35	0.758135	-5.02	-13.74	slice	11.5	
CAHI5	m3	GR4_3t	32.9	0.758213	-3.6	-14.12	slice	9.4	
CAHI5	m3	GR4_2t	30.5	0.75832	-1.72	-14.29	slice	7	
CAHI5	m3	GR4_1t	28.7	0.758736	-1.16	-14.28	slice	5.2	
CAHI5	m3	GR3_9t	24	0.759999	-3.21	-14.04	slice	24	
CAHI5	m3	GR3_8t	21.9	0.759983	-3.73	-13.82	slice	21.9	
CAHI5	m3	GR3_7t	19.3	0.759397	-4.31	-13.78	slice	19.3	
CAHI5	m3	GR3_6t	16.9	0.758728	-5.02	-13.84	slice	16.9	
CAHI5	m3	GR3_5t	14.5	0.758421	-5.58	-13.75	slice	14.5	
CAHI5	m3	GR3_4t	12.1	0.758246	-5.55	-13.72	slice	12.1	
CAHI5	m3	GR3_3t	9.3	0.758231	-3.83	-13.54	slice	9.3	
CAHI5	m3	GR3_2t	7	0.758496	-2.22	-13.11	slice	7	
CAHI5	m3	GR3_1t	5	0.759092	-1.91	-13.75	slice	5	
CAHI0	m3	GR9_9	32	0.758304	-4.44	-13.4	banda	16.1	
CAHI0	m3	GR9_8	30.3	0.758385	-3.49	-13.07	banda	14.4	
CAHI0	m3	GR9_7	28.7	0.758458	-2.76	-13.34	banda	12.8	
CAHI0	m3	GR9_6	27.1	0.758597	-2.6	-13.5	banda	11.2	
CAHI0	m3	GR9_5	25.6	0.7586	-3.11	-13.32	banda	9.7	
CAHI0	m3	GR9_4	23.9	0.758642	-3.45	-13.78	banda	8	
CAHI0	m3	GR9_3	22.3	0.758713	-3.41	-14.01	banda	6.4	
CAHI0	m3	GR9_2	20.8	0.758633	-3.71	-13.88	banda	4.9	
CAHI0	m3	GR9_1	18.6	0.758536	-3.83	-13.77	banda	2.7	mediana C
CAHI0	m3	GR10_9	16.4	0.758343	-5.83	-13.77	banda	16.4	
CAHI0	m3	GR10_8	14.6	0.758279	-6.48	-13.75	banda	14.6	
CAHI0	m3	GR10_7	13.2	0.758278	-5.31	-13.6	banda	13.2	
CAHI0	m3	GR10_6	11.5	0.758302	-5.41	-13.83	banda	11.5	
CAHI0	m3	GR10_5	10.1	0.75845	-5.72	-14.05	banda	10.1	
CAHI0	m3	GR10_4	8.3	0.758631	-5.15	-14.06	banda	8.3	corregit O (valor aberrant) mediana 
CAHI0	m3	GR10_3	6.5	0.758506	-4.59	-14.07	banda	6.5	
CAHI0	m3	GR10_2	4.7	0.758568	-4.71	-14.13	banda	4.7	
CAHI0	m3	GR10_1	3	0.758508	-4.99	-14.45	banda	3	
CAHI3	m3	AR3-7t	44.9	0.758664	-2.72	-15.05	slice	19.3	
CAHI3	m3	AR3-6t	41.4	0.758653	-2.8	-15.17	slice	15.8	
CAHI3	m3	AR3-5t	38.1	0.758638	-1.67	-14.96	slice	12.5	
CAHI3	m3	AR3-4t	35.4	0.758664	0.34	-14.58	slice	9.8	
CAHI3	m3	AR3-3t	32.9	0.758703	1.84	-14.15	slice	7.3	
CAHI3	m3	AR3-2t	30.5	0.758695	2.78	-13.78	slice	4.9	
CAHI3	m3	AR3-1t	27.5	0.758703	2.45	-13.38	slice	1.9	
CAHI3	m3	AR4_9t	26.1	0.758569	0.46	-13.62	slice	26.1	
CAHI3	m3	AR4_8t	22.7	0.758568	-0.07	-13.64	slice	22.7	
CAHI3	m3	AR4_7t	20.2	0.758533	-0.75	-13.82	slice	20.2	
CAHI3	m3	AR4_6t	16.8	0.758532	-1.01	-13.94	slice	16.8	
CAHI3	m3	AR4_5t	14	0.758576	-0.87	-14.12	slice	14	
CAHI3	m3	AR4_4t	11.1	0.758651	-0.19	-14.21	slice	11.1	
CAHI3	m3	AR4_3t	8.4	0.758591	1.05	-14.35	slice	8.4	
CAHI3	m3	AR4_2t	6	0.758622	2.24	-14.45	slice	6	
CAHI3	m3	AR4_1t	2.1	0.758682	1.81	-14.23	slice	2.1	
OVAR6	m3	GR_8.10	42.8	0.758001	-4.86	-14.73	band	18.5	
OVAR6	m3	GR_8.9	41.1	0.757996	-4.32	-14.53	band	16.8	
OVAR6	m3	GR_8.8	39.4	0.757987	-3.72	-13.9	band	15.1	
OVAR6	m3	GR_8.7	37.4	0.757976	-3.93	-13.92	band	13.1	
OVAR6	m3	GR_8.6	35.8	0.75798	-3.36	-13.6	band	11.5	
OVAR6	m3	GR_8.5	33.8	0.757995	-3.33	-13.03	band	9.5	
OVAR6	m3	GR_8.4	31.5	0.758012	-4.49	-12.84	band	7.2	
OVAR6	m3	GR_8.3	30	0.758014	-4.81	-12.18	band	5.7	
OVAR6	m3	GR_8.2	28	0.758031	-5.53	-12.07	band	3.7	
OVAR6	m3	GR_8.1	26.2	0.758038	-6.96	-12.47	band	1.9	mediana C
OVAR6	m3	GR_7.11	24.8	0.758015	-7.86	-12.88	band	24.8	
OVAR6	m3	GR_7.10	23	0.75802	-8.74	-13.35	band	23	
OVAR6	m3	GR_7.9	20.9	0.758053	-8.33	-13.61	band	20.9	
OVAR6	m3	GR_7.8	19.2	0.758054	-6.96	-13.37	band	19.2	
OVAR6	m3	GR_7.7	16.9	0.758054	-6.12	-13.4	band	16.9	
OVAR6	m3	GR_7.6	14.9	0.758044	-6.41	-13.78	band	14.9	
OVAR6	m3	GR_7.5	12.6	0.758042	-4.66	-14.07	band	12.6	
OVAR6	m3	GR_7.4	10.3	0.758031	-3.42	-13.54	band	10.3	
OVAR6	m3	GR_7.3	8.7	0.757991	-3.64	-13.54	band	8.7	
OVAR6	m3	GR_7.2	6.8	0.758003	-5.64	-13.43	band	6.8	
OVAR6	m3	GR_7.1	4.9	0.75802	-6.49	-13.54	band	4.9	
